1	Which microcontrollers are generally used in the robotics industry ?	What microcontroller is most used in robotics and engineering ?	3767
0	How is the word ` subcontinent ' used in a sentence ?	How is the word ` quibble ' used in a sentence ?	100166
1	What are the things that make Indians happy and proud ?	What are things that make Indians happy ?	304829
0	What percentage of the Indonesian population is Chinese-Indonesian ?	Are there prominent Chinese Indonesians ?	49611
1	How do I improve my pronunciation of English ?	How can I improve my communication skills in english ?	116235
0	How can I recover permanently deleted data without using any software ?	Any software which can delete data without giving any chance to recover data ?	327980
1	If a polar bear and a siberian tiger fought , which would win ?	Who would win , a polar bear or a siberian tiger ?	75886
0	I completed BCom , ICWA -RRB- in India and need to do CPA . Are there any courses I can take fulfill the credit requirements for CPA exam ?	Do Jeff Bezos , Amazon and Blue Origin stand with Donald Trump ?	150655
1	Which are 10 best novels one should must read before die ?	What are the top 10 novels I should read before I die ? And why ?	279921
0	What is the best treatment for hair loss ?	What is your review of Hair Loss Treatments ?	395108
1	How do I start a random conversation with a girl I do n't know ?	How do I start a conversation with a girl I do n't know ?	3644
0	How long would it take to walk 1 meter if your body was roughly the size of an atom ?	If I was shrunk down to the size of an atom , how long would it take me to cover 1 meter by walking ?	325226
1	What is blowing raspberries mean ?	What does ` blowing raspberries ' mean ?	374166
0	Why would anyone want a Red Panda as a pet ?	Can you keep a Red Panda as a pet ?	380229
1	I 'm new to anime . What animes would you recommend ?	What are animes you recommend ?	169230
0	494 marks in NEET general category delhi domicile govt college ?	Does MCOM in professional accounting from Australia have scope ?	369628
1	How do you schedule an Uber in advance ?	Can you schedule an Uber ahead of time ? How do you do this ? Can I set the pickup time in advance ?	348526
0	I 'm afraid my girlfriend 's parents will hate me because I 'm black . What should I do ?	What do I do if my girlfriend 's parents wo n't let me drive her to get lunch together because I 'm a new driver ?	89478
1	What 's the difference between a programming language and a scripting language ?	What are scripting languages and programming languages ?	225762
0	Which is a suitable inpatient drug and alcohol rehab center near Putnam County IN ?	Which is a suitable inpatient drug and alcohol rehab center near Marshall County IN ?	48455
1	Why is the BBC targeting India ?	Is the BBC news channel racist towards India ?	247005
0	Why do we feel a air breeze coming in opp direction inside a metro ?	Why ca n't we put a camera in a black hole to see what 's inside ?	305769
1	Which is your most favorite dialogue from Bollywood movies ?	What are some of the most popular / favourite / iconic dialogues from Bollywood movies ?	18650
0	What is it like to play an escape room game as a product manager ?	What is it like to play an escape room with one or more product managers ?	152244
